id,img_path,category,category_abbr,subcategory,subcategory_id,legacy_code,legacy_img_path
DK001,DK001.jpg,Design & Knowledge,DK,Tech,51,DK23,5101.jpg
DK002,DK002.jpeg,Design & Knowledge,DK,Tech,51,DK24,5102.jpeg
DK003,DK003.jpeg,Design & Knowledge,DK,Tech,51,DK25,5103.jpeg
DK004,DK004.jpeg,Design & Knowledge,DK,Tech,51,DK26,5104.jpeg
DK005,DK005.webp,Design & Knowledge,DK,Tech,51,DK27,5105.webp
DK006,DK006.jpeg,Design & Knowledge,DK,Tech,51,DK28,5106.jpeg
DK007,DK007.jpeg,Design & Knowledge,DK,Tech,51,DK29,5107.jpeg
DK008,DK008.webp,Design & Knowledge,DK,Tech,51,DK30,5108.webp
DK009,DK009.jpg,Design & Knowledge,DK,Tech,52,DK31,5201.jpg
DK010,DK010.jpeg,Design & Knowledge,DK,Tech,52,DK32,5202.jpeg
DK011,DK011.jpg,Design & Knowledge,DK,Tech,52,DK33,5203.jpg
DK012,DK012.png,Design & Knowledge,DK,Tech,52,DK34,5204.png
DK013,DK013.jpg,Design & Knowledge,DK,Tech,53,DK35,5301.jpg
DK014,DK014.jpg,Design & Knowledge,DK,Tech,53,DK36,5302.jpg
DK015,DK015.jpg,Design & Knowledge,DK,Tech,53,DK37,5303.jpg
DK016,DK016.jpeg,Design & Knowledge,DK,Tech,53,DK38,5304.jpeg
DK017,DK017.jpeg,Design & Knowledge,DK,Tech,53,DK39,5305.jpeg
DK018,DK018.jpg,Design & Knowledge,DK,Tech,53,DK40,5306.jpg
DK019,DK019.png,Design & Knowledge,DK,Tech,53,DK41,5307.jpg.png
DK020,DK020.jpg,Design & Knowledge,DK,Tech,54,DK42,5401.jpg
DK021,DK021.jpg,Design & Knowledge,DK,Tech,54,DK43,5402.jpg
DK022,DK022.webp,Design & Knowledge,DK,Tech,54,DK44,5403.webp
DK023,DK023.jpeg,Design & Knowledge,DK,Tech,54,DK45,5404.jpeg
DK024,DK024.jpg,Design & Knowledge,DK,Tech,54,DK46,5405.jpg
DK025,DK025.jpeg,Design & Knowledge,DK,Tech,54,DK47,5406.jpeg
DK026,DK026.webp,Design & Knowledge,DK,Tech,54,DK48,5407.webp
DK027,DK027.jpeg,Design & Knowledge,DK,Tech,54,DK49,5408.jpeg
DK028,DK028.jpeg,Design & Knowledge,DK,Tech,54,DK50,5409.jpeg
DK029,DK029.webp,Design & Knowledge,DK,Tech,54,DK51,5410.webp
DK030,DK030.jpg,Design & Knowledge,DK,Print,41,DK1,4101.jpg
DK031,DK031.png,Design & Knowledge,DK,Print,41,DK2,4102.png
