category,subcategory,count
Design & Knowledge,Tech,29
Design & Knowledge,Digital,10
Design & Knowledge,Print,7
Design & Knowledge,Brand,6
People & Activity,Sports,19
People & Activity,Portraits,14
People & Activity,Education,11
People & Activity,Movies,10
People & Activity,Games,6
Scene & Object,Still-life,39
Scene & Object,Outdoor,38
Scene & Object,Animals,22
Scene & Object,Transport,18
Scene & Object,Plants,14
Scene & Object,Food,10
Scene & Object,Photo,7
Text & Interface,Mobile,10
Text & Interface,Docs,8
Text & Interface,Diagram,6
Text & Interface,Web,6
Text & Interface,Device,4
Text & Interface,Dialog,4
Text & Interface,Slides,2
